Simulação,Status,Timeslot Total,EPRs Criados,Pares Eprs Consumidos,Fidelidade Média dos Eprs,Erro
80,Sucesso,1,2,2,"{""media"": 0.9878048780487805}",Nenhum
81,Sucesso,1,2,2,"{""media"": 0.9878048780487805}",Nenhum
82,Sucesso,1,2,2,"{""media"": 0.9878048780487805}",Nenhum
83,Falha,2,4,6,"{""media"": 0.9269509770143387}",Erro de probabilidade de sucesso.
84,Sucesso,1,2,2,"{""media"": 0.9878048780487805}",Nenhum
85,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
86,Falha,5,7,12,"{""media"": 0.9276199352753638}",Erro de probabilidade de sucesso.
87,Falha,3,5,8,"{""media"": 0.9272788230444974}",Erro de probabilidade de sucesso.
88,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
89,Sucesso,1,2,2,"{""media"": 0.9878048780487805}",Nenhum
90,Sucesso,1,2,2,"{""media"": 0.9878048780487805}",Nenhum
91,Falha,0,2,2,"{""symmetric"": 0.0, ""pumping"": 0.0}",Erro de probabilidade de sucesso.
92,Sucesso,1,2,2,"{""media"": 0.9878048780487805}",Nenhum
93,Falha,3,5,8,"{""media"": 0.9272788230444974}",Erro de probabilidade de sucesso.
94,Falha,10,11,20,"{""media"": 0.928846760939949}",Nenhum
95,Sucesso,1,2,2,"{""media"": 0.9878048780487805}",Nenhum
96,Sucesso,1,2,2,"{""media"": 0.9878048780487805}",Nenhum
97,Falha,6,8,14,"{""media"": 0.9277146129905521}",Erro de probabilidade de sucesso.
98,Sucesso,1,2,2,"{""media"": 0.9878048780487805}",Nenhum
99,Falha,5,7,12,"{""media"": 0.9276199352753638}",Erro de probabilidade de sucesso.
100,Sucesso,1,2,2,"{""media"": 0.9878048780487805}",Nenhum
